"Année","BT","HT/MT"
"2020","4325","3699"
"2019","4145","3494"
"2018","3803","3147"
"2017","3576","3059"
"2016","3506","2900"
"2015","3192","2743"
"2014","2887","2683"
"2013","2668","2367"
"2012","2337","2157"
"2011","1999","1698"
"2010","2161","1879"
"2009","2400","1750"
"2008","2007","1706"
"2007","1771","1608"
"2006","1677","1564"
"2005","1650","1463"
"2004","1525","1451"
"2003","1248","1439"
"2002","1381","1553"
"2001","1374","1588"
"2000","1375","1517"
"1999","1332","1538"
"1998","1248","1556"
"1997","1109","1411"
"1996","965","1292"
"1995","893","1177"
"1994","836","1105"
"1993","801","1066"
"1992","805","1083"
"1991","807","1135"
"1990","826","1113"
"1989","860","1155"
"1988","823","1112"
"1987","777","1091"
"1986","769","1021"
"1985","734","992"
"1984","720","860"
"1983","854","939"
"1982","776","922"
"1981","733","886"
"1980","688","831"
"1979","633","770"
"1978","484","574"
"1977","435","595"
"1976","375","512"
"1975","350","440"
"1974","296","382"
"1973","302","359"
"1972","253","311"
"1971","221","270"
"1970","204","225"
"1969","179","191"
"1968","156","161"
"1967","132","148"
"1966","120","129"
"1965","99","90"
"1964","83","75"
"1963","72","59"
"1962","57","45"
"1961","42","35"
"1960","30","27"