"ANNEE","BT","MT","HT"
"2020","23794","26163","7063"
"2019","22523","25432","6062"
"2018","21651","24534","5453"
"2017","21234","24026","5093"
"2016","20746","23516","5093"
"2015","19599","22336","4701"
"2014","18737","21718","4729"
"2013","17660","20300","4724"
"2012","17196","20026","4615"
"2011","16519","19581","4478"
"2010","15958","15958","4422"
"2009","15958","19462","4422"
"2008","15560","18715","4422"
"2007","15446","18573","4396"
"2006","15162","18304","4396"
"2005","14763","17793","4389"
"2004","14896","17283","4389"
"2003","12798","16698","4377"
"2002","12098","16012","4371"
"2001","12098","16012","4371"
"2000","11482","15493","4289"
"1999","11110","14394","4287"
"1998","10704","13912","4239"
"1997","10136","13733","4239"
"1996","9022","12275","4246"
"1995","8524","11752","4111"
"1994","8430","11798","4111"
"1993","8200","11628","4111"
"1992","8015","11509","4111"
"1991","7980","11374","4111"
"1990","7912","11130","4083"
"1989","7871","11130","4077"
"1988","7591","10948","4077"
"1987","7085","10026","3328"
"1986","6830","9378","3235"
"1985","6532","7779","3235"
"1984","6271","6983","3123"
"1983","6071","6793","2754"
"1982","5670","6134","2608"
"1981","5346","5827","2536"
"1980","4909","5645","2535"
"1979","4270","5045","2056"
"1978","3924","4483","1441"
"1977","3484","3957","1161"
"1976","3147","3765","1161"
"1975","2966","2875","1093"
"1974","2302","2687","1093"
"1973","1919","2546","735"
"1972","1748","2213","706"
"1971","1393","1968","292"
"1970","1290","1628","292"
"1969","1129","1444","292"
"1968","1006","1194","284"
"1967","864","893","277"
"1966","805","766","277"
"1965","708","658","256"
"1964","630","560","128"
"1963","548","428","128"
"1962","475","385","128"
"1961","376","305","128"
"1960","319","236","128"