"ANNEE","BT","HT/MT"
"2020","2909633","6055"
"2019","2532418","5736"
"2018","2191290","5435"
"2017","1892711","5115"
"2016","1626653","4790"
"2015","1428317","4462"
"2014","1311742","4096"
"2013","1219727","3868"
"2012","1150528","3539"
"2011","1108217","3316"
"2010","1079503","3255"
"2009","1042050","3079"
"2008","996780","2882"
"2007","951311","2761"
"2006","898863","2665"
"2005","876218","2593"
"2004","864143","2593"
"2003","864143","2593"
"2002","833051","2539"
"2001","793374","2873"
"2000","759835","2503"
"1999","706451","2412"
"1998","643815","2270"
"1997","590569","2210"
"1996","526388","2068"
"1995","478486","1921"
"1994","445751","1904"
"1993","426184","1874"
"1992","419494","1863"
"1991","413109","1872"
"1990","408637","1885"
"1989","399540","1845"
"1988","381689","1782"
"1987","373246","1734"
"1986","359801","1697"
"1985","350202","1635"
"1984","342667","1616"
"1983","339293","1614"
"1982","320584","1547"
"1981","297333","1457"
"1980","269181","1342"
"1979","235130","1235"
"1978","203945","1079"
"1977","181831","958"
"1976","160174","864"
"1975","143313","813"
"1974","122363","743"
"1973","110108","654"
"1972","91462","628"
"1971","79991","575"
"1970","70421","513"
"1969","61722","485"
"1968","53955","446"
"1967","45986","417"
"1966","41458","379"
"1965","33808","325"
"1964","26945","273"
"1963","22774","253"
"1962","19678","200"
"1961","15928","170"
"1960","13440","152"