"Année","MW"
"2020","1545"
"2019","1443"
"2018","1388"
"2017","1342"
"2016","1288"
"2015","1193"
"2014","1148"
"2013","1077"
"2012","1006"
"2011","925"
"2010","912"
"2009","857"
"2008","815"
"2007","762"
"2006","712"
"2005","680"
"2004","643"
"2003","606"
"2002","614"
"2001","594"
"2000","594"
"1999","565"
"1998","542"
"1997","511"
"1996","452"
"1995","408"
"1994","368"
"1993","349"
"1992","353"
"1991","368"
"1990","368"
"1989","376"
"1988","362"
"1987","354"
"1986","327"
"1985","314"
"1984","295"
"1983","320"
"1982","317"
"1981","295"
"1980","262"
"1979","250"
"1978","216"
"1977","189"
"1976","171"
"1975","158"
"1974","141"
"1973","121"
"1972","115"
"1971","81"
"1970","70"
"1969","63"
"1968","57"
"1967","51"
"1966","44"
"1965","37"
"1964","25"
"1963","25"
"1962","19"
"1961","15"
"1960","11"