"Année","BTA","HTA","TOTAL","Export"
"1998","1248","1556","2804","593"
"1999","1332","1538","2870","1289"
"2000","1375","1517","2892","1237"
"2001","1374","1588","2962","1155"
"2002","1381","1553","2934","1563"
"2003","1248","1439","2687","1327"
"2004","1525","1451","2974","1409"
"2005","1541","1463","3004","1397"
"2006","1695","1564","3259","1066"
"2007","1771","1608","3379","772"
"2008","1889","1710","3599","599"
"2009","2527","1744","4271","484"
"2010","2100","1862","3962","471"
"2011","2009","1697","3706","596"
"2012","2354","2159","4513","645"
"2013","2667","2379","5046","820"
"2014","2887","2676","5563","897"
"2015","3161","2738","5899","855"
"2016","3506","2900","6406","1648"
"2017","3474","3049","6523","1225"
"2018","3803","3147","6950","1078"
"2019","4325","3720","8045","1275"
"2020","4145","3494","7639","1179"